DF_Activated,PropertyName,PropertyName
Activated,Owen F. Dolen Park,4
Activated,P.O. Serrano Playground,4
Activated,"Phil ""Scooter"" Rizzuto Park",4
Activated,Police Officer Edward Byrne Park,4
Activated,Quaker Parrot Park at the Dust Bowl,4
Activated,Queensbridge Park,4
Activated,Riverside Park South,4
Activated,Rufus King Park,4
Activated,Scarangella Park,4
Activated,Schmul Park,4
Activated,Seward Park,4
Activated,Sol Lain Plgd,4
Activated,Southern Fields,4
Activated,St. Andrew's Playground,4
Activated,Stockton Playground,4
Activated,Sumner Playground,4
Activated,Tappen Park,4
Activated,The Painter's Playground,4
Activated,Travers Park,4
Activated,Vidalia Park,4
Activated,West Playground,4
Activated,Adam Yauch Park,3
Activated,Albemarle Playground,3
Activated,Alley Park,3
Activated,Ambrosini Field,3
Activated,Andrew Haswell Green Park,3
Activated,Bellevue South Park,3
Activated,Bicentennial Veterans Memorial Park,3
Activated,Bowne Playground,3
Activated,Breininger Park,3
Activated,Broad Channel Park,3
Activated,Brooklyn Heights Promenade,3
Activated,Cadman Plaza Park,3
Activated,Carroll Park,3
Activated,Carver Playground,3
Activated,Cedar Playground,3
Activated,Challenge Playground,3
Activated,Co-op City Field,3
Activated,Coffey Park,3
Activated,Colgate Close,3
Activated,Colucci Playground,3
Activated,Cooper Park,3
Activated,Corporal John A. Seravalli Playground,3
Activated,Cypress Hills Playground,3
Activated,Davis Playground,3
Activated,De Hostos Playground,3
Activated,Dome Playground,3
Activated,Dr. Charles R. Drew Park,3
Activated,Dr. Green Playground,3
Activated,Dry Dock Playground,3
Activated,East Elmhurst Playground,3
Activated,Electric Playground,3
Activated,Elmhurst Park,3
Activated,Emerald Playground,3
Activated,Ethan Allen Playground,3
Activated,Evergreen Park,3
Activated,Farm Playground,3
Activated,Fisher Pool,3
Activated,Fort Hamilton Athletic Field,3
Activated,Frank D. O'Connor Playground,3
Activated,Frederick Douglass Playground,3
Activated,Gerard P. Dugan Playground,3
Activated,Glen Oaks Oval,3
Activated,Glenwood Playground,3
Activated,Golconda Playground,3
Activated,Gonzalo Plasencia Playground,3
Activated,Grace Playground,3
Activated,Green Central Knoll,3
Activated,Grove Hill Playground,3
Activated,Hansborough Recreation Center,3
Activated,Harold Schneiderman Playground,3
Activated,Hell's Kitchen Park,3
Activated,Hermon A. MacNeil Park,3
Activated,Hilltop Playground,3
Activated,Hoffman Park,3
Activated,Horace Harding Playground,3
Activated,Howard Bennett Playground,3
Activated,Idlewild Park,3
Activated,James Weldon Johnson Playground,3
Activated,Jerome Playground,3
Activated,John Allen Payne Playground,3
Activated,John J Carty Park,3
Activated,Lafayette Playground,3
Activated,Laurelton Parkway,3
Activated,Lieutenant John H. Martinson Playground,3
Activated,Louis Armstrong Community Center,3
Activated,Madison Square Park,3
Activated,Marble Hill Playground,3
Activated,McDonald Playground,3
Activated,Millbrook Playground,3
Activated,Murphy Brothers Playground,3
Activated,Murray Playground,3
Activated,Nicholas Naquan Heyward Jr. Park,3
Activated,Northern Playground,3
Activated,Old Town Playground,3
Activated,Osborn Playground,3
Activated,Oxport Playground,3
Activated,Paerdegat Park,3
Activated,Peters Field,3
Activated,Playground 52 LII,3
Activated,Playground Eighty LXXX,3
Activated,Plimpton Playground,3
Activated,Poe Park,3
Activated,Pomonok Playground,3
Activated,Potomac Playground,3
Activated,Pulaski Playground,3
Activated,Recreation Center 54,3
Activated,Recreational Area,3
Activated,Redfern Playground,3
Activated,Reiff Playground,3
Activated,River Avenue Parks,3
Activated,Robert E. Venable Park,3
Activated,Roberto Clemente Ballfield,3
Activated,Seaside Playground,3
Activated,Seth Low Playground/ Bealin Square,3
Activated,Slattery Playground,3
Activated,South Pacific Playground,3
Activated,Sperandeo Brothers Playground,3
Activated,Springfield Park,3
Activated,Spuyten Duyvil Playground,3
Activated,Star Spangled Playground,3
Activated,Stars & Stripes Playground,3
Activated,Sutter Ballfields,3
Activated,Ten Eyck Playground,3
Activated,Tremont Park,3
Activated,Triborough Bridge Playground C,3
Activated,Utopia Playground,3
Activated,Van Dyke Playground,3
Activated,Vinmont Veteran Park,3
Activated,Wakefield Playground,3
Activated,Watson Gleason Playground,3
Activated,Whitey Ford Field,3
Activated,Winthrop Playground,3
Activated,Woodtree Playground,3
Activated,Yellowstone Park,3
Activated,100% Playground,2
Activated,A.R.R.O.W. REC CENTER,2
Activated,Abigail Playground,2
Activated,Admiral Playground,2
Activated,Agnes Haywood Playground,2
Activated,Albert J. Parham Playground,2
Activated,Alexander Hamilton Playground,2
Activated,Alice Austen Park,2
Activated,Allen Mall One,2
Activated,Andries Playground,2
Activated,Arcilla Playground,2
Activated,Arsenal North,2
Activated,Arverne Playground,2
Activated,Asser Levy Park,2
Activated,Athens Square,2
Activated,Auburndale Playground,2
Activated,Bailey Playground,2
Activated,Barretto Point Park,2
Activated,Bartlett Playground,2
Activated,Bath Playground,2
Activated,Bathgate Playground,2
Activated,Bayside Fields,2
Activated,Bayview Playground,2
Activated,Bellaire Playground,2
Activated,Bennett Park,2
Activated,Benninger Playground,2
Activated,Benson Playground,2
Activated,Bleecker Playground,2
Activated,Blue Heron Park,2
Activated,Boerum Park,2
Activated,Booker T. Washington Playground,2
Activated,Bowne Park,2
Activated,Brevoort Playground,2
Activated,Bridge Park,2
Activated,Brizzi Playground,2
Activated,Brookfield Park,2
Activated,Brower Park,2
Activated,Bruckner Playground,2
Activated,Cardozo Playground,2
Activated,Castlewood Playground,2
Activated,Centreville Playground,2
Activated,Cherry Tree Park,2
Activated,Chester Playground,2
Activated,Ciccarone Park,2
Activated,City Hall Park,2
Activated,Clark Playground,2
Activated,Cleopatra Playground,2
Activated,Clintonville Playground,2
Activated,Cobble Hill Park,2
Activated,Colden Playground,2
Activated,Coleman Playground,2
Activated,Collect Pond Park,2
Activated,College Point Park,2
Activated,Conch Playground,2
Activated,Concrete Plant Park,2
Activated,Corona Golf Playground,2
Activated,Courtney Callender Playground,2
Activated,Curtis Playground,2
Activated,D'Emic Playground,2
Activated,Delphin H. Greene Playground,2
Activated,Detective William T. Gunn Playground,2
Activated,DiGilio Playground,2
Activated,Ditmars Playground,2
Activated,Dr. Gertrude B. Kelly Playground,2
Activated,Dr. Ronald McNair Park,2
Activated,Dunbar Playground,2
Activated,Dutch Kills Playground,2
Activated,East River Playground,2
Activated,East Springfield Playground,2
Activated,Edmonds Playground,2
Activated,Estella Diggs Park,2
Activated,Fermi Playground,2
Activated,First Park,2
Activated,Fish Playground,2
Activated,Floyd Patterson Ballfields,2
Activated,Flynn Playground,2
Activated,Fort Independence Playground,2
Activated,Fountain Of Youth Playground,2
Activated,Francis Lewis Playground,2
Activated,Franz Sigel Park,2
Activated,Fred Samuel Playground,2
Activated,Frederick B. Judge Playground,2
Activated,Frontera Park,2
Activated,Fulton Park,2
Activated,Galapo Playground,2
Activated,Galileo Playground,2
Activated,George Walker Jr. Park,2
Activated,Givan Square,2
Activated,Grand Playground,2
Activated,Grant Park,2
Activated,Grassmere Playground,2
Activated,Great Kills Veterans Playground,2
Activated,Greene Playground,2
Activated,Haggerty Park,2
Activated,Half-Nelson Playground,2
Activated,Hammel Playground,2
Activated,Harding Park,2
Activated,Harlem Lane Playground,2
Activated,Harvard Playground,2
Activated,Hattie Carthan Playground,2
Activated,Henry M. Jackson Playground,2
Activated,Herman Dolgon Playground,2
Activated,Hillside Dog Park,2
Activated,Hillside Playground,2
Activated,Hope Ballfield,2
Activated,Howard Playground,2
Activated,Hoyt Playground,2
Activated,Hunts Point Riverside Park,2
Activated,Irving Square Park,2
Activated,J.J. Byrne Playground,2
Activated,Jaime Campiz Playground,2
Activated,James J Walker Park,2
Activated,John Golden Park,2
Activated,John Hancock Playground,2
Activated,Joyce Kilmer Park,2
Activated,Judge Moses Weinstein Playground,2
Activated,Junction Playground,2
Activated,Kennedy King Playground,2
Activated,Kolbert Playground,2
Activated,L/CPL Thomas P. Noonan Jr. Playground,2
Activated,LaGuardia Landing Lights,2
Activated,Lafayette Gardens Playground,2
Activated,Latimer Playground,2
Activated,Laurelton Playground,2
Activated,Lawrence Virgilio Playground,2
Activated,Lefferts Playground,2
Activated,Lillian D Wald Playground,2
Activated,Lion's Pride Playground,2
Activated,Little Claremont Playground,2
Activated,Locust Manor Playground,2
Activated,London Planetree Playground,2
Activated,Lozada Playground,2
Activated,MacArthur Playground,2
Activated,MacLaughlin Playground,2
Activated,Mahoney Playground,2
Activated,Mapes Pool,2
Activated,Martin Luther King Jr. Playground,2
Activated,"Martin Luther King, Jr. Playground",2
Activated,Martin Luther Playground,2
Activated,Matthew P. Sapolin Playground,2
Activated,Matthews Muliner Playground,2
Activated,Maurice A FitzGerald Playground,2
Activated,Mazzei Playground,2
Activated,Mellett Playground,2
Activated,Midland Playground,2
Activated,Mill Pond Park,2
Activated,Monsignor Crawford Field,2
Activated,Moore Playground,2
Activated,Morgan Playground,2
Activated,Mosholu Parkway,2
Activated,Mount Hope Playground,2
Activated,Nathan Weidenbaum Playground,2
Activated,Nautilus Playground,2
Activated,Nelson Playground,2
Activated,Newport Playground,2
Activated,Newtown Barge Playground,2
Activated,Oakland Gardens,2
Activated,Ocean Hill Playground,2
Activated,Park Slope Playground,2
Activated,Paul Raimonda Playground,2
Activated,Pena Herrera Playground,2
Activated,People's Park,2
Activated,Pierrepont Playground,2
Activated,Pink Playground,2
Activated,Playground 103 CIII,2
Activated,Playground 174,2
Activated,Playground Sixty Two LXII,2
Activated,Poor Richard's Playground,2
Activated,Poppenhusen Playground,2
Activated,Poseidon Playground,2
Activated,Powell Playground,2
Activated,Pratt Playground,2
Activated,Printers Park,2
Activated,Pulaski Park,2
Activated,Queens Valley Playground,2
Activated,Rappaport Playground,2
Activated,Ravenswood Playground,2
Activated,Raymond Bush Playground,2
Activated,Real Good Playground,2
Activated,Renaissance Playground,2
Activated,Rev J Polite Playground,2
Activated,Rienzi Playground,2
Activated,Riverdale Playground,2
Activated,Robert Moses Playground,2
Activated,Rock Garden Park,2
Activated,Rockaway Garage,2
Activated,Rocket Playground,2
Activated,Roebling Playground,2
Activated,Rose Hill Park,2
Activated,Rosemary's Playground,2
Activated,Ruppert Park,2
Activated,Russell Pedersen Playground,2
Activated,Russell Sage Playground,2
Activated,Sakura Park,2
Activated,Samuel N. Bennerson 2nd Playground,2
Activated,Samuel Seabury Playground,2
Activated,Sarsfield Playground,2
Activated,Saw Mill Playground,2
Activated,Sgt. William Dougherty Playground,2
Activated,Sheepshead Playground,2
Activated,Simeone Park,2
Activated,Sixteen Sycamores Playground,2
Activated,Sol Bloom Playground,2
Activated,Sorrentino Recreation Center,2
Activated,South Rochdale Playground,2
Activated,Spirit Playground,2
Activated,Spring Creek Park,2
Activated,Squibb Park,2
Activated,St. Catherine's Park,2
Activated,St. Nicholas Playground North,2
Activated,St. Nicholas Playground South,2
Activated,St. Vartan Park,2
Activated,Stanley Isaacs Playground,2
Activated,Starlight Park,2
Activated,Starr Playground,2
Activated,Stroud Playground,2
Activated,Surf Playground,2
Activated,Taaffe Playground,2
Activated,Tanahey Playground,2
Activated,Tecumseh Playground,2
Activated,Telephone Playground,2
Activated,The Pearly Gates,2
Activated,Thomas Boyland Park,2
Activated,Tilden Playground,2
Activated,Underhill Playground,2
Activated,Underwood Park,2
Activated,Van Alst Playground,2
Activated,Vesuvio Playground,2
Activated,Veterans Grove,2
Activated,Vincent F. Albano Jr. Playground,2
Activated,Walt Whitman Park,2
Activated,Walter Ward Playground,2
Activated,Washington Hall Park,2
Activated,Washington's Walk,2
Activated,Wayanda Park,2
Activated,Webster Playground,2
Activated,West Bronx Recreation Center,2
Activated,White Playground,2
Activated,Willets Point Playground,2
Activated,William Sheridan Playground,2
Activated,Willis Playground,2
Activated,Wingate Park,2
Activated,Yak Playground,2
Activated,"""Uncle"" Vito F. Maranzano Glendale Playground",1
Activated,Abingdon Square,1
Activated,Aesop Park,1
Activated,Alexander's Alley,1
Activated,Alice Kornegay Triangle,1
Activated,Allerton Playground,1
Activated,Amelia Gorman Park,1
Activated,American Playground,1
Activated,Ampere Playground,1
Activated,Andrews Grove,1
Activated,Annadale Green,1
Activated,Annadale Playground,1
Activated,Annunciation Playground,1
Activated,Arrochar Playground,1
Activated,Asphalt Green,1
Activated,Astoria Health Playground,1
Activated,Augustus St. Gaudens Playground,1
Activated,Barrier Playground,1
Activated,Bay Terrace Playground,1
Activated,Bayside Playground,1
Activated,Beach 59th St Playground,1
Activated,Beach Channel Playground,1
Activated,Beanstalk Playground,1
Activated,Beatty Plaza,1
Activated,Bedford Playground,1
Activated,Belt Parkway/Shore Parkway,1
Activated,Benjamin Gladstone Square,1
Activated,Bergen Beach Playground,1
Activated,Berry Playground,1
Activated,Black Rock Playground,1
Activated,Bloomingdale Playground,1
Activated,Bridge Park 3,1
Activated,Brighton Playground,1
Activated,Broad Channel American Park,1
Activated,Bryan Park,1
Activated,Bufano Park,1
Activated,Burns Playground,1
Activated,Butterfly Gardens,1
Activated,Captain Rivera Playground,1
Activated,Captain Tilly Park,1
Activated,Carmansville Playground,1
Activated,Carter G. Woodson Children's Park,1
Activated,Caserta Playground,1
Activated,Castle Hill Playground,1
Activated,Catharine Turner Richardson Park,1
Activated,Catherine Slip Malls,1
Activated,Century Playground,1
Activated,Charlie's Place,1
Activated,Charlton Garden,1
Activated,Cherry Clinton Playground,1
Activated,Classon Playground,1
Activated,Clawson Playground,1
Activated,Clement Clarke Moore Park,1
Activated,Continental Army Plaza,1
Activated,Cooney Grauer Field,1
Activated,Crack Is Wack Playground,1
Activated,Crispus Attucks Playground,1
Activated,Crosson Green,1
Activated,Crosson Park,1
Activated,Crowley Playground,1
Activated,Cuyler Gore Park,1
Activated,D'Auria-Murphy Triangle,1
Activated,Dag Hammarskjold Plaza,1
Activated,Davidson Playground,1
Activated,Dawson Playground,1
Activated,DeSalvio Playground,1
Activated,Detective Joseph Mayrose Park,1
Activated,Dodger Playground,1
Activated,Dongan Playground,1
Activated,Doughboy Park,1
Activated,Downing Street Playground,1
Activated,Dr. Ronald E. McNair Playground,1
Activated,Drew Playground,1
Activated,Eae J Mitchell Park,1
Activated,East Flatbush Children's Playground,1
Activated,East River Walk,1
Activated,Eastchester Playground,1
Activated,Edenwald Playground,1
Activated,El Shabazz Playground,1
Activated,Eleanor Roosevelt Playground,1
Activated,Elizabeth Stroud Playground,1
Activated,Elton Playground,1
Activated,Ennis Playground,1
Activated,Epiphany Playground,1
Activated,Equity Playground,1
Activated,Eugene McCabe Field,1
Activated,Ewen Park,1
Activated,Father Fagan Park,1
Activated,Father Macris Park,1
Activated,Fordham Landing Playground,1
Activated,Frank Golden Park,1
Activated,Fraser Square,1
Activated,Freedom Square Playground,1
Activated,Fresh Meadows Playground,1
Activated,Frost Playground,1
Activated,Garden Playground,1
Activated,Garibaldi Playground,1
Activated,Gen. Douglas MacArthur Park,1
Activated,Gene Gray Playground,1
Activated,Gilbert Ramirez Park,1
Activated,Glendale Veterans Triangle,1
Activated,Goble Playground,1
Activated,Gorman Playground,1
Activated,Gouverneur Playground,1
Activated,Grady Playground,1
Activated,Grand Canal Court,1
Activated,Grand Ferry Park,1
Activated,Great Kills Park,1
Activated,Greenpoint Playground,1
Activated,Gun Hill Playground,1
Activated,Gutenberg Playground,1
Activated,Gwirtzman Triangle,1
Activated,Hallets Cove Playground,1
Activated,Happy Warrior Playground,1
Activated,Harold Ickes Playground,1
Activated,Harry Chapin Playground,1
Activated,Hart Playground,1
Activated,Havemeyer Playground,1
Activated,Hawkins Park,1
Activated,Hempstead Ballfield,1
Activated,Hendrick I. Lott House,1
Activated,Hilton White Playground,1
Activated,Hines Park,1
Activated,Hollis Playground,1
Activated,Holocaust Memorial Park,1
Activated,Holy Cow Playground,1
Activated,Homecrest Playground,1
Activated,Horseshoe Playground,1
Activated,Hot Spot Tot Lot,1
Activated,Houston Playground,1
Activated,Howard Von Dohlen Playground,1
Activated,Ian Maclennan Garden,1
Activated,Imagination Playground,1
Activated,Jackson Square,1
Activated,Jacobs Riis Park,1
Activated,James Madison Plaza,1
Activated,Jennie Jerome Playground,1
Activated,Jerome Park,1
Activated,John Vincent Daniels Jr. Square,1
Activated,Josephine Caminiti Playground,1
Activated,Kaltenmeier Playground,1
Activated,Kennedy Playground,1
Activated,La Guardia Playground,1
Activated,Lanett Playground,1
Activated,Lemon Creek Park,1
Activated,Lewis Playground,1
Activated,Linnaeus Park,1
Activated,Linwood Playground,1
Activated,Livonia Park,1
Activated,Long Island Mews,1
Activated,Lopez Playground,1
Activated,Louis Armstrong Playground,1
Activated,Louis C. Moser Playground,1
Activated,Lt. Lia Playground,1
Activated,Lt. Wm. Tighe Triangle,1
Activated,MacDonald Park,1
Activated,Mae Grant Playground,1
Activated,Magenta Playground,1
Activated,Maple Playground,1
Activated,Marc And Jason's Playground,1
Activated,Margaret I. Carman Green - Weeping Beech,1
Activated,Mariners Harbor Playground,1
Activated,Martinez Playground,1
Activated,McLaughlin Playground,1
Activated,Melrose Playground,1
Activated,Middle Village Playground,1
Activated,Middleton Playground,1
Activated,Milestone Park,1
Activated,Minetta Playground,1
Activated,Mitchel Square,1
Activated,Mohegan Triangle,1
Activated,Monsignor Raul Del Valle Square,1
Activated,Morris Garden,1
Activated,Morris Mesa,1
Activated,Mother Cabrini Park,1
Activated,Mott Playground,1
Activated,Mount Eden Malls,1
Activated,Mount Hope Garden,1
Activated,Murray Hill Playground,1
Activated,Naples Playground,1
Activated,Nehemiah Park,1
Activated,Neptune Playground,1
Activated,Norelli-Hargreaves Playground,1
Activated,North Pacific Playground,1
Activated,North Rochdale Playground,1
Activated,Northerleigh Park,1
Activated,O'Neill Triangle,1
Activated,Ogden Plimpton Playground,1
Activated,Oracle Playground,1
Activated,P.S. 155 Playground,1
Activated,P.S. 279 Playground,1
Activated,P.S. 29 Ballfield,1
Activated,Park,1
Activated,Parkside Playground,1
Activated,Pat Williams Playground,1
Activated,Patrick O'Rourke Playground,1
Activated,Pearl St Playground,1
Activated,Penn Triangle,1
Activated,Peter's Field,1
Activated,Petrosino Square,1
Activated,Pfc Norton Playground,1
Activated,Plaut Triangle,1
Activated,Playground Eighty Nine LXXXIX,1
Activated,Playground Ninety,1
Activated,Playground One Forty,1
Activated,Playground Seventy Five,1
Activated,Playground Twenty One,1
Activated,Playground of the Americas,1
Activated,Police Officer Nicholas Demutiis Park,1
Activated,Power Playground,1
Activated,Pugsley Creek Park,1
Activated,Railroad Park,1
Activated,Rainbow Playground,1
Activated,Rainey Park,1
Activated,Ramon Aponte Park,1
Activated,Ranaqua Playground,1
Activated,Randall Playground,1
Activated,Remsen Playground,1
Activated,Rev Lena Irons Unity Park,1
Activated,Richmond Parkway,1
Activated,Risse Street Park,1
Activated,Riverbend Playground,1
Activated,Robert L. Clinkscales Playground and Community Garden,1
Activated,Rockaway Freeway,1
Activated,Rodney Park Center,1
Activated,Rodney Park North,1
Activated,Rodney Playground Center,1
Activated,Rodney Playground North,1
Activated,Rodney Playground South,1
Activated,Rolph Henry Playground,1
Activated,Rory Staunton Field,1
Activated,Rudd Playground,1
Activated,Sankofa Park,1
Activated,Schiff Mall,1
Activated,Seabury Playground,1
Activated,Sean's Place,1
Activated,Seaside Wildlife Nature Park,1
Activated,Sedgwick Playground,1
Activated,Seeley Park,1
Activated,Seton Falls Park,1
Activated,Sherry Dog Run,1
Activated,Skyline Playground,1
Activated,Sledge Playground,1
Activated,Socrates Sculpture Park,1
Activated,Sohncke Square,1
Activated,Sophie Irene Loeb,1
Activated,South Oxford Park,1
Activated,Space Time Playground,1
Activated,St. Mark's Playground,1
Activated,Stebbins Playground,1
Activated,Steeplechase Park,1
Activated,Steuben Playground,1
Activated,Stop & Go Playground,1
Activated,Story Playground,1
Activated,Sunners Playground,1
Activated,Sunrise Playground,1
Activated,Sutton Parks,1
Activated,Sylvan Grove Cemetery,1
Activated,Tall Oak Playground,1
Activated,Taylor Playground,1
Activated,Terrace Playground,1
Activated,The Olde Towne of Flushing Burial Ground,1
Activated,Theodore Roosevelt Park,1
Activated,Thomas J. Cuite Park,1
Activated,Thomas Paine Park,1
Activated,Thorpe Family Playground,1
Activated,Tiffany Playground,1
Activated,Tiger Playground,1
Activated,Tompkinsville Park,1
Activated,Tribeca Park,1
Activated,Triborough Bridge Playground B,1
Activated,Trinity Park,1
Activated,Tucker Place,1
Activated,Turtle Playground,1
Activated,Two Coves Community Garden,1
Activated,Valentino Pier,1
Activated,Van Nest Park,1
Activated,Virginia Playground,1
Activated,Vito Locascio Field,1
Activated,Vleigh Playground,1
Activated,Von Briesen Park,1
Activated,WNYC Transmitter Park,1
Activated,Wald Playground,1
Activated,Walton Park,1
Activated,Washington Market Park,1
Activated,Weeksville Playground,1
Activated,West 4th Street Courts,1
Activated,West Harlem Piers,1
Activated,Westbourne Playground,1
Activated,Westerleigh Park,1
Activated,Whalen Playground,1
Activated,White Park,1
Activated,Whitefish Triangle,1
Activated,William F Moore Park,1
Activated,William McCray Playground,1
Activated,Williamsbridge Square,1
Activated,Willoughby Playground,1
Activated,Willow Lake Playground,1
Activated,Willowbrook Parkway,1
Activated,Woods Playground,1
Activated,Woodside Memorial Triangle,1
Activated,Wright Brothers Playground,1
Activated,Yolanda García Park,1
Activated,Zimmerman Playground,1
Broken,Coney Island Beach & Boardwalk,6
Broken,Wingate Park,5
Broken,Saratoga Park,4
Broken,Betsy Head Park,3
Broken,Bridge Park,3
